enlace_producto,enlace_imagen
/arroz-cuisine-and-co-g1-grano-largo-ancho1kg-1888808/p,https://jumbo.vteximg.com.br/arquivos/ids/638211-180-180?width=180&height=180&aspect=true
/servilleta-elite-mesa-200-un-1885823/p,https://jumbo.vteximg.com.br/arquivos/ids/817804-180-180?width=180&height=180&aspect=true
/queso-crema-philadelphia-180gr-1875096/p,https://jumbo.vteximg.com.br/arquivos/ids/677828-180-180?width=180&height=180&aspect=true
/jamon-pierna-corte-pluma-la-pref-250g-1872165/p,https://jumbo.vteximg.com.br/arquivos/ids/823715-180-180?width=180&height=180&aspect=true
/agua-benedictino-pet-3-0-l-1603581/p,https://jumbo.vteximg.com.br/arquivos/ids/460501-180-180?width=180&height=180&aspect=true
/pan-congelado-y-precocido-hallulla-precocida-8-un-cuisine---co-1859271/p,https://jumbo.vteximg.com.br/arquivos/ids/373681-180-180?width=180&height=180&aspect=true
/marraqueta-precocida-8-un-cuisine-and-co-1859272/p,https://jumbo.vteximg.com.br/arquivos/ids/373682-180-180?width=180&height=180&aspect=true
/galletas-salmas-maiz-horneadas-216-g-1858597/p,https://jumbo.vteximg.com.br/arquivos/ids/513018-180-180?width=180&height=180&aspect=true
/leche-descremada-1-l-cuisine-and-co-1858323/p,https://jumbo.vteximg.com.br/arquivos/ids/707408-180-180?width=180&height=180&aspect=true
/leche-semidescremada-1-l-cuisine-and-co-1858322/p,https://jumbo.vteximg.com.br/arquivos/ids/707402-180-180?width=180&height=180&aspect=true
/toalla-papel-clasica-12-m-12-un/p,https://jumbo.vteximg.com.br/arquivos/ids/1013233-180-180?width=180&height=180&aspect=true
/queso-crema-pasteurizado-226-g-cuisine-and-co-1820460/p,https://jumbo.vteximg.com.br/arquivos/ids/677815-180-180?width=180&height=180&aspect=true
/yoghurt-protein-chirimoya-155-g/p,https://jumbo.vteximg.com.br/arquivos/ids/466500-180-180?width=180&height=180&aspect=true
/queso-fresco-light-sin-lactosa-400-g/p,https://jumbo.vteximg.com.br/arquivos/ids/410379-180-180?width=180&height=180&aspect=true
/leche-descremada-sin-lactosa-1-l/p,https://jumbo.vteximg.com.br/arquivos/ids/727110-180-180?width=180&height=180&aspect=true
/atun-robinson-crusoe-lomitos-en-agua-light-104-g-drenado/p,https://jumbo.vteximg.com.br/arquivos/ids/859051-180-180?width=180&height=180&aspect=true
/hallulla-delgada-granel/p,https://jumbo.vteximg.com.br/arquivos/ids/317542-180-180?width=180&height=180&aspect=true
/agua-purificada-sin-gas-6-l-cuisine-and-co-1793571/p,https://jumbo.vteximg.com.br/arquivos/ids/656365-180-180?width=180&height=180&aspect=true
/choclo-en-grano-congelado-500-g-cuisine-and-co-1763677/p,https://jumbo.vteximg.com.br/arquivos/ids/426780-180-180?width=180&height=180&aspect=true
/queso-chacra-quillayes-400-g/p,https://jumbo.vteximg.com.br/arquivos/ids/677807-180-180?width=180&height=180&aspect=true
/pina-pelada-un/p,https://jumbo.vteximg.com.br/arquivos/ids/628142-180-180?width=180&height=180&aspect=true
/mantequilla-soprole-untable-pote-350-g-2/p,https://jumbo.vteximg.com.br/arquivos/ids/661456-180-180?width=180&height=180&aspect=true
/bebida-pepsi-zero-pet-1750cc/p,https://jumbo.vteximg.com.br/arquivos/ids/949383-180-180?width=180&height=180&aspect=true
/brocoli-unid/p,https://jumbo.vteximg.com.br/arquivos/ids/424497-180-180?width=180&height=180&aspect=true
/betarraga-feria-5-un/p,https://jumbo.vteximg.com.br/arquivos/ids/252204-180-180?width=180&height=180&aspect=true
/cebollin-feria-3un/p,https://jumbo.vteximg.com.br/arquivos/ids/252202-180-180?width=180&height=180&aspect=true
/bolsa-superior-camiseta-rollo-50x65-10un/p,https://jumbo.vteximg.com.br/arquivos/ids/434902-180-180?width=180&height=180&aspect=true
/bolsa-de-basura-home-care-rollo-50-x-70-cm-10-unid/p,https://jumbo.vteximg.com.br/arquivos/ids/870919-180-180?width=180&height=180&aspect=true
/pack-leche-colun-chocolate-200-cc-6-unid/p,https://jumbo.vteximg.com.br/arquivos/ids/398872-180-180?width=180&height=180&aspect=true
/pack-bebida-coca-cola-zero-6-unid-350-cc-c-u/p,https://jumbo.vteximg.com.br/arquivos/ids/940814-180-180?width=180&height=180&aspect=true
/filetito-de-pollo-super-pollo-830-g/p,https://jumbo.vteximg.com.br/arquivos/ids/984609-180-180?width=180&height=180&aspect=true
/espumante-vina-mar-brut-750-cc/p,https://jumbo.vteximg.com.br/arquivos/ids/832171-180-180?width=180&height=180&aspect=true
/tortilla-para-burritos-y-wraps-pancho-villa-350-g/p,https://jumbo.vteximg.com.br/arquivos/ids/773268-180-180?width=180&height=180&aspect=true
/galletas-con-chips-de-chococolate-costa-35-g/p,https://jumbo.vteximg.com.br/arquivos/ids/453136-180-180?width=180&height=180&aspect=true
/lechuga-lollo-bionda-hidroponica-unid-2/p,https://jumbo.vteximg.com.br/arquivos/ids/347804-180-180?width=180&height=180&aspect=true
